product_id,product_name,category,brand,unit_price
P00001,UrbanPro Monitor 525,Electronics,UrbanPro,147000
P00002,SmartEdge Gaming Headset 592,Gaming,SmartEdge,121000
P00003,Zenith External SSD 737,Electronics,Zenith,595000
P00004,SmartEdge Gaming Keyboard 447,Gaming,SmartEdge,414000
P00005,Vertex USB Hub 964,Accessories,Vertex,38000
P00006,Prime Router 491,Electronics,Prime,85000
P00007,Zenith Smartphone 626,Electronics,Zenith,299000
P00008,Nova Gaming Headset 839,Gaming,Nova,133000
P00009,Nova Filing Cabinet 968,Office,Nova,11000
P00010,Zenith Phone Case 363,Accessories,Zenith,43000
P00011,TechCore Gaming Keyboard 748,Gaming,TechCore,28000
P00012,Nova Printer Paper 537,Office,Nova,5000
P00013,Pulse External SSD 979,Electronics,Pulse,289000
P00014,Zenith Microwave 745,Home Appliances,Zenith,50000
P00015,Nova Air Fryer 516,Home Appliances,Nova,587000
P00016,NexGen Office Chair 210,Office,NexGen,8000
P00017,SmartEdge Microwave 391,Home Appliances,SmartEdge,67000
P00018,Prime Wireless Mouse 535,Accessories,Prime,8000
P00019,Zenith Bluetooth Speaker 338,Electronics,Zenith,259000
P00020,Zenith External SSD 685,Electronics,Zenith,205000
P00021,Zenith Blender 778,Home Appliances,Zenith,128000
P00022,Vertex Air Conditioner 438,Home Appliances,Vertex,43000
P00023,Vertex Gaming Keyboard 916,Gaming,Vertex,152000
P00024,SmartEdge Printer 358,Electronics,SmartEdge,311000
P00025,Nova Blender 562,Home Appliances,Nova,17000
P00026,Maxwell Washing Machine 699,Home Appliances,Maxwell,579000
P00027,Pulse Phone Case 169,Accessories,Pulse,12000
P00028,Nova Smartphone 768,Electronics,Nova,93000
P00029,Nova Office Chair 363,Office,Nova,16000
P00030,NexGen Power Bank 906,Electronics,NexGen,123000
P00031,Vertex Notebook 259,Office,Vertex,15000
P00032,Pulse Mechanical Keyboard 738,Accessories,Pulse,10000
P00033,Orbit Office Chair 787,Office,Orbit,22000
P00034,Apex Router 419,Electronics,Apex,369000
P00035,UrbanPro Washing Machine 166,Home Appliances,UrbanPro,433000
P00036,Prime Smart TV 556,Electronics,Prime,420000
P00037,Nova USB Cable 467,Accessories,Nova,9000
P00038,Vertex Stapler 345,Office,Vertex,41000
P00039,NexGen Mechanical Keyboard 576,Accessories,NexGen,22000
P00040,Pulse Phone Case 261,Accessories,Pulse,37000
P00041,Nova Phone Case 559,Accessories,Nova,10000
P00042,Orbit Wireless Mouse 402,Accessories,Orbit,33000
P00043,Zenith Standing Fan 902,Home Appliances,Zenith,49000
P00044,Orbit USB Cable 753,Accessories,Orbit,4000
P00045,Maxwell Electric Kettle 334,Home Appliances,Maxwell,330000
P00046,Maxwell Whiteboard 567,Office,Maxwell,24000
P00047,NexGen Notebook 885,Office,NexGen,79000
P00048,Orbit Bluetooth Speaker 413,Electronics,Orbit,182000
P00049,Pulse Desk 275,Office,Pulse,18000
P00050,Nova Stapler 899,Office,Nova,6000
P00051,Vertex Air Conditioner 109,Home Appliances,Vertex,50000
P00052,Maxwell Filing Cabinet 947,Office,Maxwell,8000
P00053,NexGen Phone Case 722,Accessories,NexGen,4000
P00054,Maxwell Tablet 772,Electronics,Maxwell,469000
P00055,TechCore Standing Fan 674,Home Appliances,TechCore,54000
P00056,Prime Gaming Mouse 474,Gaming,Prime,63000
P00057,SmartEdge Blender 645,Home Appliances,SmartEdge,366000
P00058,SmartEdge Standing Fan 717,Home Appliances,SmartEdge,91000
P00059,Apex Office Chair 936,Office,Apex,71000
P00060,Apex Printer Paper 530,Office,Apex,78000
P00061,Pulse Microwave 522,Home Appliances,Pulse,35000
P00062,SmartEdge HDMI Cable 638,Accessories,SmartEdge,13000
P00063,UrbanPro Washing Machine 294,Home Appliances,UrbanPro,166000
P00064,UrbanPro Desk 471,Office,UrbanPro,90000
P00065,TechCore Office Chair 114,Office,TechCore,84000
P00066,TechCore Refrigerator 593,Home Appliances,TechCore,289000
P00067,Maxwell Gaming Monitor 228,Gaming,Maxwell,99000
P00068,UrbanPro Mechanical Keyboard 147,Accessories,UrbanPro,55000
P00069,NexGen USB Cable 860,Accessories,NexGen,4000
P00070,SmartEdge Printer Paper 858,Office,SmartEdge,59000
P00071,Prime External SSD 405,Electronics,Prime,747000
P00072,Zenith Desk Lamp 134,Office,Zenith,91000
P00073,Pulse Wireless Mouse 672,Accessories,Pulse,60000
P00074,TechCore Office Chair 607,Office,TechCore,127000
P00075,NexGen Game Console 936,Gaming,NexGen,195000
P00076,UrbanPro Game Console 409,Gaming,UrbanPro,67000
P00077,Orbit Refrigerator 967,Home Appliances,Orbit,396000
P00078,TechCore Power Bank 486,Electronics,TechCore,356000
P00079,Nova HDMI Cable 645,Accessories,Nova,4000
P00080,Maxwell Filing Cabinet 198,Office,Maxwell,96000
P00081,Maxwell Air Fryer 191,Home Appliances,Maxwell,46000
P00082,Nova Mechanical Keyboard 618,Accessories,Nova,9000
P00083,Zenith Standing Fan 525,Home Appliances,Zenith,25000
P00084,Apex Gaming Keyboard 840,Gaming,Apex,26000
P00085,Orbit Tablet 683,Electronics,Orbit,363000
P00086,Maxwell Standing Fan 224,Home Appliances,Maxwell,390000
P00087,UrbanPro Air Conditioner 142,Home Appliances,UrbanPro,618000
P00088,Nova Printer Paper 101,Office,Nova,25000
P00089,SmartEdge Wireless Mouse 529,Accessories,SmartEdge,62000
P00090,Apex External SSD 499,Electronics,Apex,136000
P00091,Orbit Screen Protector 307,Accessories,Orbit,68000
P00092,SmartEdge HDMI Cable 109,Accessories,SmartEdge,9000
P00093,SmartEdge Gaming Headset 894,Gaming,SmartEdge,51000
P00094,SmartEdge Stapler 188,Office,SmartEdge,28000
P00095,Nova USB Hub 861,Accessories,Nova,46000
P00096,Orbit Laptop Bag 154,Accessories,Orbit,74000
P00097,SmartEdge Laptop 895,Electronics,SmartEdge,204000
P00098,Apex Monitor 425,Electronics,Apex,94000
P00099,TechCore Air Conditioner 182,Home Appliances,TechCore,487000
P00100,UrbanPro Air Fryer 953,Home Appliances,UrbanPro,244000
P00101,Apex Whiteboard 890,Office,Apex,43000
P00102,NexGen Smart TV 824,Electronics,NexGen,491000
P00103,Pulse Router 163,Electronics,Pulse,324000
P00104,SmartEdge Air Conditioner 849,Home Appliances,SmartEdge,70000
P00105,Vertex Monitor 370,Electronics,Vertex,115000
P00106,Pulse Printer Paper 479,Office,Pulse,31000
P00107,Apex Screen Protector 975,Accessories,Apex,44000
P00108,SmartEdge Standing Fan 116,Home Appliances,SmartEdge,23000
P00109,Maxwell Stapler 167,Office,Maxwell,80000
P00110,Vertex Microwave 414,Home Appliances,Vertex,38000
P00111,TechCore Monitor 683,Electronics,TechCore,145000
